BCC1032 ,APPLICATION DEVELOPMENT WORKSHOP , ,2
BCN1053 ,DATA COMMUNICATION & NETWORKING , ,3
BCS1023 ,PROGRAMMING TECHNIQUES , ,3
BCS2283 ,INTRODUCTION TO SOFTWARE ENGINEERING , ,3
BUM1213 ,FUNDAMENTAL DISCRETE STRUCTURE , ,3
UHM2022 ,ETHNIC RELATIONS , ,2
UHS1021 ,SOFT SKILLS 1 , ,1
UQB1011 ,BRIGED SISWA (KOKURIKULUM I) , ,1
BCC1012 ,ICT COMPETENCY WORKSHOP , ,2
BCN1043 ,COMPUTER ARCHITECTURE & ORGANIZATION , ,3
BUM2223 ,DISCRETE STRUCTURE & APPLICATIONS , ,3
UHF1131 ,JAPANESE FOR BEGINNERS , ,1
UHL2412 ,ENGLISH FOR ACADEMIC COMMUNICATION , ,2
UHR1012 ,ISLAMIC AND ASIAN CIVILISATIONS 1 , ,2
UQS2091 ,FITNESS , ,1
BCS1093 ,DATA STRUCTURE & ALGORITHMS , ,3
BCS1133 ,SYSTEMS ANALYSIS & DESIGN , ,3
BCS2303 ,WEB SCRIPTING , ,3
UGE2002 ,TECHNOPRENEURSHIP , ,2
UHF2131 ,JAPANESE FOR INTERMEDIATE , ,1
UHL2422 ,ENGLISH FOR TECHNICAL COMMUNICATION , ,2
BCI2023 ,DATABASE SYSTEMS , ,3
BCN2053 ,OPERATING SYSTEMS , ,3
BCS2203 ,WEB APPLICATION DEVELOPMENT , ,3
BUM2413 ,APPLIED STATISTICS , ,3
UHE3032 ,INTRODUCTION TO HUMAN BEHAVIOUR , ,2
UHF2131 ,JAPANESE FOR INTERMEDIATE , ,1
BUM2413 ,APPLIED STATISTICS , ,3
BCS2313 ,ARTIFICIAL INTELLIGENCE TECHNIQUES , ,3
BCS2173 ,HUMAN COMPUTER INTERACTION , ,3
BCS2143 ,OBJECT ORIENTED PROGRAMMING , ,3
BCS2333 ,SOFTWARE PLANNING & REQUIREMENT WORKSHOP , ,3
UHL2400 ,FUNDAMENTALS OF ENGLISH LANGUAGE , ,0
UCS1110 ,FIRST YEAR SEMINAR , ,0
BCS2343 ,SOFTWARE DESIGN WORKSHOP , ,3
BCC3013 ,UNDERGRADUATE PROJECT 1 , ,3
BCS1*13 ,ELECTIVE BCS 1 , ,3
BCS1*23 ,ELECTIVE BCS 2 , ,3
BCS3293 ,SOFTWARE CONFIGURATION MANAGEMENT , ,3
UHL2432 ,ENGLISH FOR PROFESSIONAL COMMUNICATION , ,2
UHS2021 ,SOFT SKILLS 2 , ,1
B**C*3 ,ELECTIVE IV , ,3
BCC3026 ,UNDERGRADUATE PROJECT II , ,6
BCS1*33 ,ELECTIVE BCS 3 , ,3
BCS3263 ,SOFTWARE QUALITY ASSURANCE , ,3
XXXXX2 ,UNIVERSITY ELECTIVE , ,2
BCC4018 ,INDUSTRIAL TRAINING , ,8
BCC4024 ,INDUSTRIAL TRAINING REPORT ,  ,4
